codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
1710100459278383,RT CHOPP & CIA,Ouro Verde,1,141490,4786.3739386353645,Thu,14,manha,8,tarde,1,noite,5,"Avenida Arymana, 954, 13056-440 Campinas"
134249426720701,Scooby-Dog,PUCCamp (Roseira),0,112644,7192.09306483125,Tue,19,manha,5,tarde,6,noite,8,"R: professora celeste palandi de mello, 138, vila união, ant° 3, 13060-703 Campinas"
1756509411283557,Restaurante Cantina Mineira,PUCCamp (Roseira),2,112644,7192.09306483125,Tue,5,manha,2,tarde,1,noite,2,"Vila castelo branco 415, 13060-739 Campinas"
1644482639190239,Hookah Time e cia,Amoreiras,1,60786,6047.275114904794,Wed,17,manha,5,tarde,11,noite,1,13050411 Campinas
337058363302647,Salgados do Mineiro,Taquaral,0,62735,4755.858116457308,Wed,16,manha,6,tarde,4,noite,6,"129  Rua Cyrenia Arruda Camargo, 13088-106 Campinas"
193273247527869,Cervejoteca Campinas,Flamboyant,2,57756,4607.542022002218,Mon,73,manha,7,tarde,39,noite,27,"Avenida Barão de Itapura, 13073-300 Campinas"
988204194544873,Area 51 Dogueria & Cia,Ouro Verde,1,141490,4786.3739386353645,Mon,9,manha,6,tarde,1,noite,2,"Rua Luis Otávio S. B. Pessoa, 253, Campinas - SP, Campinas"
389420914750148,ZOIO Lanche,PUCCamp (Roseira),2,112644,7192.09306483125,Sat,107,manha,29,tarde,27,noite,51,"R. Dr. Silvio Carvalhães 221  JD Anchieta, 13060-872 Campinas"
211610438852574,Mitsuo Store - www.mitsuostore.com.br,Castelo,1,67263,5683.108587650817,Sun,8,manha,1,tarde,2,noite,5,13033-970 Campinas
1056105197793482,Joe açai,Ouro Verde,1,141490,4786.3739386353645,Thu,34,manha,3,tarde,21,noite,10,"Av. Martinho Lutero 535, 13056-260 Campinas"
184238518739736,HABIB'S OURO VERDE,Jardim Capivari,0,23892,3344.775642999938,Thu,10,manha,5,tarde,4,noite,1,"AVENIDA RUY RODRIGUEZ, 3380, 13060-646 Campinas"
931341996979175,Baru Restaurante Alphaville,Alphavile Campinas,3,13188,580.7593732660448,Thu,24,manha,10,tarde,10,noite,4,"R. Guapuruvu, 229, 13098-322 Campinas"
447521995314682,Sabores Da infância Bolos e Doces,Jardim do Trevo,2,52376,3893.865837973667,Tue,40,manha,18,tarde,15,noite,7,"Rua Daltair Paulino 570 Bairro São José, 13051144 Campinas"
548002955242502,Espetinho Sato,Amoreiras,1,60786,6047.275114904794,Tue,65,manha,24,tarde,30,noite,11,13050 Campinas
595385487181329,Star Clean Barão Geraldo,Barão Geraldo,2,38740,1010.9445050442843,Tue,33,manha,10,tarde,15,noite,8,"Av Atílio Martini, 940, 13083-830 Campinas"
810116952365155,Sorveteria GELA GUELA,PUCCamp (Roseira),1,112644,7192.09306483125,Tue,11,manha,4,tarde,5,noite,2,"Rua Arlindo Lucio da Silva, 237, 13050-752 Campinas"
912952742108685,Elaine Birchner Doces Artesanais,PUCCamp (Roseira),0,112644,7192.09306483125,Tue,5,manha,1,tarde,2,noite,2,"Rua Maria Helena Cesarino Rodrigues, 13060725 Campinas"
965881310114315,Pizzaria Vitória,Campo Belo (Cidade Singer),1,47336,4325.608597119673,Wed,38,manha,7,tarde,10,noite,21,"Avenida Antonio Sales Proenca, 570, 13053-330 Campinas"
1002487856442955,Estação Anchieta Restaurante e Pizza Bar,Aparecidinha,1,62822,3799.5875141376205,Fri,5,manha,1,tarde,2,noite,2,"R. João Carlos do Amaral, 105, Jardim Aparecida, 13068-617 Campinas"
114951038597810,Subway,Amoreiras,1,60786,6047.275114904794,Fri,53,manha,33,tarde,15,noite,5,"Av. das Amoreiras, 1738 - São Bernardo, 13031-435 Campinas"
1486376818326219,Mercadinho Edmar,Campo Grande,0,105720,2248.954976227704,Fri,14,manha,8,tarde,3,noite,3,"Rua Dr. Alcides de Freitas Leitão, 539 Parque Valença II, 13058573 Campinas"
222290101477190,Paty & Jorginho espetinhos,Jardim do Trevo,0,52376,3893.865837973667,Sat,118,manha,23,tarde,31,noite,64,"Rua Aparecida Leopoldina Faustino, 13 051259 Campinas"
263354257009082,Akitikab's,Castelo,2,67263,5683.108587650817,Sat,40,manha,13,tarde,9,noite,18,"Rua Dom Pedro I, 395, 13073 Campinas"
718781441598497,Bolo Zero,Taquaral,1,62735,4755.858116457308,Sat,16,manha,8,tarde,4,noite,4,13087010 Campinas
219154511429590,Água Doce Cachaçaria Campinas Barão Geraldo,Barão Geraldo,2,38740,1010.9445050442843,Sun,19,manha,8,tarde,5,noite,6,"Avenida Dr Romeu Tortima, 593, 13084791 Campinas"
133200086878786,Degust SUSHI,Castelo,2,67263,5683.108587650817,Thu,91,manha,21,tarde,37,noite,33,"Avenida Brasil 1181, 13073148 Campinas"
422360101140470,Espetinho Dona Neusa,Ouro Verde,1,141490,4786.3739386353645,Thu,15,manha,8,tarde,2,noite,5,"AV. ARYMANA 653 PQ. DOM PEDRO II, 13056-440 Campinas"
864327663721254,Imperium Pastéis,Aparecidinha,0,62822,3799.5875141376205,Thu,14,manha,9,tarde,2,noite,3,"Rua Dom Avelar Brandão Vilela, 160, Vila Padre Anchieta, 13068303 Campinas"
1659653317688549,SM Bakery,Swift,0,86361,6354.185060921773,Tue,28,manha,14,tarde,13,noite,1,"Av. São José dos Campos, 2500, 13040-735 Campinas"
386788871712524,WF Promessas Confeitaria Campinas-Sp,Campo Grande,0,105720,2248.954976227704,Tue,42,manha,16,tarde,6,noite,20,"Rua Jose Bressani n 105, 13058-081 Campinas"
536989336433831,Restaurante Saborear,Jardim do Trevo,0,52376,3893.865837973667,Tue,19,manha,6,tarde,7,noite,6,"Avenida Carlos Stella Netto, 13049001 Campinas"
623183827754151,Salsa con Ají - RestoBar,Barão Geraldo,2,38740,1010.9445050442843,Tue,229,manha,59,tarde,43,noite,127,"Rua Manoel Antunes Novo, 350, 13084175 Campinas"
1462323643984874,Casa de Maria,Barão Geraldo,3,38740,1010.9445050442843,Wed,55,manha,31,tarde,15,noite,9,"Av. Romeu Tórtima , 368, Barão Geraldo, 13084-791 Campinas"
335444446799049,Ravenna Pães e Doces,Parque Ecológico,0,14781,999.3712095089348,Wed,4,manha,1,tarde,2,noite,1,"Av. Dr. Antônio Carlos Couto de Barros, 1055 - Jardim Rosana, Campinas - SP, 13105-000 Campinas"
221630384972651,Kero + Açaí,Campo Grande,2,105720,2248.954976227704,Fri,26,manha,3,tarde,5,noite,18,"Rua Alderico Alvite, 134, 13058517 Campinas"
230181670401652,Bar Flor do Minho,Swift,2,86361,6354.185060921773,Fri,24,manha,3,tarde,10,noite,11,"Rua Otoniel Motta, 13041-180 Campinas"
